日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2021-12-24,'300750,宁德时代,576.8,625.25,563.0,624.0,622.07,-45.27,-7.2773,1.0615,24608084,14321299320.5,1.34443497216e+12,1.33719236566e+12,125078
2021-12-23,'300750,宁德时代,622.07,630.8,612.08,618.98,610.24,11.83,1.9386,0.3439,7971819,4954754967.52,1.44995260598e+12,1.44214156537e+12,44352
2021-12-22,'300750,宁德时代,610.24,617.0,603.0,608.8,604.07,6.17,1.0214,0.3607,8361840,5103433201.98,1.42237863629e+12,1.41471613942e+12,46475
2021-12-21,'300750,宁德时代,604.07,614.69,594.08,606.0,610.21,-6.14,-1.0062,0.542,12565780,7553655489.85,1.40799728438e+12,1.40041226131e+12,68007
2021-12-20,'300750,宁德时代,610.21,649.0,607.68,649.0,651.19,-40.98,-6.2931,0.6691,15511352,9648533093.77,1.42230871075e+12,1.41464659058e+12,90877
2021-12-17,'300750,宁德时代,651.19,653.99,639.7,651.01,655.06,-3.87,-0.5908,0.5888,13649081,8863377800.11,1.51782699293e+12,1.50965030616e+12,41943
2021-12-16,'300750,宁德时代,655.06,657.3,647.08,657.3,649.0,6.06,0.9337,0.2653,6150222,4018260859.3,1.52684738707e+12,1.51862210653e+12,36703
2021-12-15,'300750,宁德时代,649.0,661.0,646.95,649.43,651.01,-2.01,-0.3088,0.304,7048016,4606545054.18,1.5127224288e+12,1.50457324083e+12,40647
2021-12-14,'300750,宁德时代,651.01,657.34,643.98,657.34,658.36,-7.35,-1.1164,0.3788,8781080,5704000135.35,1.51740743971e+12,1.50923301312e+12,52007
2021-12-13,'300750,宁德时代,658.36,660.66,630.08,639.9,639.95,18.41,2.8768,0.6937,16082778,10409792154.6,1.53453919603e+12,1.52627247894e+12,77462
2021-12-10,'300750,宁德时代,639.95,653.36,621.18,622.22,633.8,6.15,0.9703,0.9224,21384418,13738235947.2,1.49162822544e+12,1.48359267407e+12,87951
2021-12-09,'300750,宁德时代,633.8,640.0,622.9,639.0,639.0,-5.2,-0.8138,0.5792,13427209,8443913158.9,1.47729349056e+12,1.46933516185e+12,77018
2021-12-08,'300750,宁德时代,639.0,644.78,626.25,634.79,629.0,10.0,1.5898,0.5127,11886602,7580712087.91,1.4894139168e+12,1.48139029413e+12,65082
2021-12-07,'300750,宁德时代,629.0,663.0,612.2,662.0,657.28,-28.28,-4.3026,0.955,22139147,13913426092.2,1.4661054048e+12,1.45820734743e+12,111128
2021-12-06,'300750,宁德时代,657.28,680.2,656.0,676.1,687.0,-29.72,-4.3261,0.4858,11261215,7509355191.61,1.53202187674e+12,1.5237687207e+12,68994
2021-12-03,'300750,宁德时代,687.0,692.0,671.0,688.96,688.0,-1.0,-0.1453,0.3485,8078164,5501798477.22,1.6012947744e+12,1.59266843829e+12,48648
2021-12-02,'300750,宁德时代,688.0,689.2,669.0,671.98,672.0,16.0,2.381,0.3959,9178956,6268320478.24,1.6036256256e+12,1.59498673296e+12,54586
2021-12-01,'300750,宁德时代,672.0,684.99,664.11,680.0,680.0,-8.0,-1.1765,0.3013,6984571,4696868393.24,1.5663320064e+12,1.55789401824e+12,40869
2021-11-30,'300750,宁德时代,680.0,685.66,673.33,684.76,679.8,0.2,0.0294,0.3101,7188131,4874671005.49,1.584978816e+12,1.5764403756e+12,39290
2021-11-29,'300750,宁德时代,679.8,684.5,653.0,654.0,658.0,21.8,3.3131,0.4946,11465261,7758115212.05,1.58451264576e+12,1.57597671667e+12,61590
2021-11-26,'300750,宁德时代,658.0,668.8,651.0,651.0,654.0,4.0,0.6116,0.2524,5850222,3865245640.55,1.5337000896e+12,1.52543789286e+12,35119
2021-11-25,'300750,宁德时代,654.0,658.5,645.29,653.0,658.8,-4.8,-0.7286,0.2511,5822028,3798078532.39,1.5243766848e+12,1.51616471418e+12,33839
2021-11-24,'300750,宁德时代,658.8,675.8,650.34,670.17,672.0,-13.2,-1.9643,0.3688,8550354,5653890107.47,1.53556477056e+12,1.5272925286e+12,47929
2021-11-23,'300750,宁德时代,672.0,680.31,666.0,680.31,681.0,-9.0,-1.3216,0.4284,9931174,6671378514.59,1.5663320064e+12,1.55789401824e+12,51746
2021-11-22,'300750,宁德时代,681.0,681.0,642.11,644.99,639.0,42.0,6.5728,0.6604,15308991,10215261575.5,1.5873096672e+12,1.57875867027e+12,73520
2021-11-19,'300750,宁德时代,639.0,639.0,620.05,631.0,626.0,13.0,2.0767,0.3648,8456790,5343617369.66,1.4894139168e+12,1.48139029413e+12,40881
2021-11-18,'300750,宁德时代,626.0,636.66,613.59,625.88,625.88,0.12,0.0192,0.3247,7527274,4697499805.41,1.4591128512e+12,1.45125246342e+12,44623
2021-11-17,'300750,宁德时代,625.88,630.43,617.56,623.0,614.97,10.91,1.7741,0.3262,7561643,4721304801.75,1.45883314906e+12,1.45097426806e+12,41458
2021-11-16,'300750,宁德时代,614.97,625.12,607.0,620.0,620.0,-5.03,-0.8113,0.3638,8433513,5202056654.99,1.43340356246e+12,1.42568167321e+12,49511
2021-11-15,'300750,宁德时代,620.0,640.99,607.96,640.99,641.0,-21.0,-3.2761,0.6047,14007599,8684428486.27,1.44398483724e+12,1.43619978864e+12,76890
2021-11-12,'300750,宁德时代,641.0,661.86,633.92,657.0,655.85,-14.85,-2.2642,0.493,11420150,7312301472.1,1.49289400108e+12,1.48484526535e+12,67014
2021-11-11,'300750,宁德时代,655.85,665.13,650.1,651.0,648.0,7.85,1.2114,0.3325,7701413,5069135677.35,1.52747976694e+12,1.51924456674e+12,45950
2021-11-10,'300750,宁德时代,648.0,656.47,635.0,651.13,663.28,-15.28,-2.3037,0.55,12739826,8216658651.91,1.5091970557e+12,1.50106042426e+12,67244
2021-11-09,'300750,宁德时代,663.28,668.0,653.13,667.74,660.8,2.48,0.3753,0.2881,6674583,4413176640.35,1.54478429491e+12,1.53645579969e+12,38674
2021-11-08,'300750,宁德时代,660.8,664.98,631.0,637.0,634.09,26.71,4.2123,0.5297,12269565,8026800882.27,1.53900835556e+12,1.53071100054e+12,62112
2021-11-05,'300750,宁德时代,634.09,649.78,633.99,639.0,646.85,-12.76,-1.9726,0.3693,8555085,5465118685.46,1.47680055717e+12,1.46883858706e+12,47299
2021-11-04,'300750,宁德时代,646.85,655.0,636.05,648.0,640.0,6.85,1.0703,0.3972,9201009,5951843600.42,1.50651869672e+12,1.49839650529e+12,49390
2021-11-03,'300750,宁德时代,640.0,656.02,628.0,651.0,658.0,-18.0,-2.7356,0.5509,12760630,8165156864.72,1.49056499328e+12,1.48252881408e+12,63421
2021-11-02,'300750,宁德时代,658.0,665.76,648.0,655.0,650.0,8.0,1.2308,0.5673,13140789,8630072694.35,1.53248713372e+12,1.52422493698e+12,64778
2021-11-01,'300750,宁德时代,650.0,679.0,631.13,641.0,639.22,10.78,1.6864,0.9575,22179659,14502525103.6,1.5138550713e+12,1.5056933268e+12,95482
2021-10-29,'300750,宁德时代,639.22,645.49,598.94,615.29,607.2,32.02,5.2734,0.875,20268702,12687999698.1,1.48874836719e+12,1.48072198209e+12,86666
2021-10-28,'300750,宁德时代,607.2,635.0,602.93,625.0,615.04,-7.84,-1.2747,0.7461,17282868,10650216882.9,1.41417353737e+12,1.40654921236e+12,75690
2021-10-27,'300750,宁德时代,615.04,615.04,593.17,597.99,597.99,17.05,2.8512,0.5849,13548574,8191755889.74,1.43243295854e+12,1.42471019033e+12,59715
2021-10-26,'300750,宁德时代,597.99,638.48,595.93,635.76,610.77,-12.78,-2.0924,0.6401,14827692,9075608784.6,1.39272337552e+12,1.38521469614e+12,71759
2021-10-25,'300750,宁德时代,610.77,625.16,603.33,612.0,601.4,9.37,1.558,0.6066,14052090,8636989621.97,1.42248809523e+12,1.4148189434e+12,63066
2021-10-22,'300750,宁德时代,601.4,605.98,590.33,605.98,596.0,5.4,0.906,0.4758,11021603,6612493209.14,1.40066529212e+12,1.39311379498e+12,49486
2021-10-21,'300750,宁德时代,596.0,599.0,580.0,590.0,589.5,6.5,1.1026,0.4378,10142297,6008461971.03,1.38808864999e+12,1.38060495811e+12,49175
2021-10-20,'300750,宁德时代,589.5,613.38,587.0,595.0,590.6,-1.1,-0.1863,0.5382,12466583,7444464950.09,1.37295009928e+12,1.36554802484e+12,60861
2021-10-19,'300750,宁德时代,590.6,614.98,585.0,604.0,595.02,-4.42,-0.7428,0.6514,15088955,8990013549.6,1.37551200786e+12,1.36809612124e+12,69189
2021-10-18,'300750,宁德时代,595.02,595.24,570.0,581.0,569.0,26.02,4.5729,0.806,18670216,10933506377.6,1.38580622235e+12,1.37833483587e+12,86487
